ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Profit,Prior_purchases,Product_importance,Order_date,Ship_Date,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product Category,Product sub Category
24,F,Ship,4,3,211,10.55,3,Critical,26-04-2022,03-05-2022,M,12,3922,1,Office Supplies,Bookcases
25,D,Ship,4,5,251,12.55,2,Not Specified,16-10-2021,20-10-2021,F,28,3561,1,Technology,Bookcases
26,F,Ship,3,1,225,11.25,4,low,25-08-2020,31-08-2020,M,29,3496,1,Office Supplies,Bookcases
27,A,Ship,4,1,172,8.6,3,Critical,18-11-2023,23-11-2023,F,24,1066,1,Office Supplies,Bookcases
28,B,Ship,5,1,162,8.1,3,Not Specified,28-12-2021,02-01-2022,M,31,1435,1,Technology,Bookcases
29,C,Ship,2,3,234,11.7,4,low,04-03-2022,12-03-2022,M,44,3134,1,Office Supplies,Bookcases
30,F,Ship,5,4,183,9.15,2,low,23-03-2023,26-03-2023,F,36,3819,1,Office Supplies,Bookcases
31,D,Ship,3,4,266,13.3,2,Not Specified,15-08-2020,19-08-2020,F,38,2741,1,Technology,Bookcases
32,F,Ship,5,3,257,12.85,2,low,07-03-2021,11-03-2021,F,61,3341,1,Office Supplies,Bookcases
33,A,Ship,3,1,223,11.15,3,low,20-11-2022,24-11-2022,F,22,3795,1,Office Supplies,Bookcases
34,B,Ship,4,2,234,11.7,3,Not Specified,29-04-2022,01-05-2022,M,4,3261,1,Technology,Bookcases
35,C,Ship,4,2,227,11.35,4,Not Specified,06-02-2020,13-02-2020,F,22,2460,1,Technology,Bookcases
36,F,Ship,5,4,149,7.45,3,Not Specified,07-06-2020,14-06-2020,F,44,1811,1,Technology,Bookcases
37,D,Ship,3,5,137,6.85,4,Critical,08-11-2023,14-11-2023,F,62,1477,1,Office Supplies,Bookcases
38,F,Ship,2,4,181,9.05,6,Not Specified,22-01-2022,27-01-2022,F,16,3605,1,Technology,Bookcases
39,A,Ship,5,1,215,10.75,4,low,27-10-2022,01-11-2022,F,56,3905,1,Office Supplies,Bookcases
40,B,Ship,4,2,269,13.45,5,low,12-06-2021,20-06-2021,F,45,2383,1,Office Supplies,Bookcases
41,C,Ship,5,1,227,11.35,2,low,26-08-2022,02-09-2022,M,15,3798,1,Office Supplies,Bookcases
42,F,Ship,5,5,139,6.95,4,Not Specified,05-02-2022,14-02-2022,M,61,1265,1,Technology,Bookcases
43,D,Ship,3,5,137,6.85,2,Not Specified,13-03-2020,16-03-2020,M,38,1647,1,Technology,Bookcases
44,F,Ship,3,1,174,8.7,2,low,07-10-2020,17-10-2020,M,44,1556,1,Office Supplies,Bookcases
45,A,Ship,3,1,151,7.55,2,low,04-03-2022,14-03-2022,M,29,1328,1,Office Supplies,Bookcases
46,B,Ship,5,1,210,10.5,3,low,29-11-2022,04-12-2022,F,9,2944,1,Office Supplies,Bookcases
47,C,Ship,3,4,169,8.45,4,Not Specified,01-07-2020,10-07-2020,F,32,1245,1,Technology,Bookcases
48,F,Ship,5,1,160,8,2,low,19-07-2022,24-07-2022,M,32,1576,1,Office Supplies,Bookcases
49,D,Ship,5,4,105,5.25,2,Not Specified,28-08-2022,01-09-2022,M,9,3753,1,Technology,Bookcases
50,F,Ship,5,3,216,10.8,3,low,09-04-2023,16-04-2023,F,40,2146,1,Office Supplies,Bookcases
51,A,Ship,4,1,183,9.15,3,low,19-01-2023,28-01-2023,M,37,2042,1,Office Supplies,Bookcases
52,B,Ship,4,4,141,7.05,3,low,23-09-2023,02-10-2023,M,22,1735,1,Office Supplies,Bookcases
53,C,Ship,4,3,165,8.25,3,low,30-03-2021,05-04-2021,F,44,1320,1,Office Supplies,Bookcases
54,F,Ship,2,1,170,8.5,3,low,31-10-2022,03-11-2022,M,41,1128,1,Office Supplies,Bookcases
55,D,Ship,4,3,203,10.15,3,Critical,28-08-2023,02-09-2023,M,12,3539,1,Office Supplies,Bookcases
56,F,Ship,2,5,246,12.3,5,low,19-02-2021,01-03-2021,M,46,2437,1,Office Supplies,Bookcases
57,A,Ship,3,3,238,11.9,3,low,20-01-2022,25-01-2022,F,61,3096,1,Office Supplies,Bookcases
58,B,Ship,3,3,193,9.65,3,Not Specified,11-12-2023,17-12-2023,F,29,3453,1,Technology,Bookcases
59,C,Ship,5,5,141,7.05,3,Critical,04-09-2023,12-09-2023,M,41,1367,1,Office Supplies,Bookcases
60,F,Ship,4,1,150,7.5,3,Critical,12-05-2021,14-05-2021,F,17,1923,1,Office Supplies,Bookcases
61,D,Ship,3,1,221,11.05,3,low,08-07-2020,13-07-2020,F,64,2794,1,Office Supplies,Bookcases
62,F,Ship,3,3,179,8.95,3,Not Specified,17-04-2023,25-04-2023,M,52,1158,1,Technology,Bookcases
63,A,Ship,5,1,105,5.25,6,Not Specified,09-01-2022,19-01-2022,M,62,1292,1,Technology,Bookcases
64,B,Ship,3,1,177,8.85,3,Not Specified,02-02-2020,06-02-2020,M,61,1880,1,Technology,Bookcases
65,C,Ship,4,5,261,13.05,2,Critical,04-07-2021,12-07-2021,M,49,3045,1,Office Supplies,Bookcases
66,F,Ship,3,2,202,10.1,3,low,03-02-2022,13-02-2022,M,49,2881,1,Office Supplies,Bookcases
67,D,Ship,3,2,257,12.85,3,Not Specified,28-04-2021,04-05-2021,F,15,1710,1,Technology,Bookcases
68,F,Ship,3,3,25,1.25,3,low,11-04-2022,16-04-2022,F,6,1878,1,Office Supplies,Bookcases
69,A,Ship,4,2,1598,79.9,4,Not Specified,09-10-2022,18-10-2022,F,6,2512,1,Technology,Bookcases
70,B,Ship,3,5,206,10.3,3,Not Specified,31-01-2020,06-02-2020,M,39,2929,1,Technology,Bookcases
71,C,Ship,5,1,187,9.35,4,Critical,19-01-2023,27-01-2023,M,14,3849,1,Office Supplies,Bookcases
72,F,Ship,5,5,230,11.5,2,low,26-02-2022,05-03-2022,F,2,2229,1,Office Supplies,Bookcases
73,D,Ship,5,5,232,11.6,3,Not Specified,28-05-2022,04-06-2022,F,33,2998,1,Technology,Bookcases
74,F,Ship,4,5,215,10.75,3,Not Specified,20-08-2021,29-08-2021,F,21,3984,1,Technology,Bookcases
75,A,Ship,6,1,238,11.9,6,low,17-06-2022,26-06-2022,F,13,2442,1,Office Supplies,Bookcases
76,B,Ship,4,1,266,13.3,3,low,07-04-2021,14-04-2021,F,23,3775,1,Office Supplies,Bookcases
77,C,Ship,2,3,158,7.9,2,Not Specified,19-02-2021,27-02-2021,F,36,1788,1,Technology,Bookcases
78,F,Ship,3,3,113,5.65,3,low,31-10-2023,10-11-2023,F,43,1518,1,Office Supplies,Bookcases
79,D,Ship,3,4,223,11.15,3,low,12-12-2023,19-12-2023,M,18,3959,1,Office Supplies,Bookcases
80,F,Ship,3,5,257,12.85,2,Not Specified,09-11-2020,19-11-2020,F,56,3711,1,Technology,Bookcases
81,A,Ship,3,4,180,9,2,Not Specified,30-03-2021,05-04-2021,F,49,1942,1,Technology,Bookcases
82,B,Ship,2,5,132,6.6,3,low,14-04-2023,22-04-2023,M,18,1759,1,Office Supplies,Bookcases
83,C,Ship,4,4,217,10.85,3,Critical,21-05-2020,23-05-2020,F,26,2875,1,Office Supplies,Bookcases
84,F,Ship,5,5,162,8.1,3,Critical,02-01-2021,04-01-2021,F,31,1364,1,Office Supplies,Bookcases
85,D,Ship,4,5,197,9.85,2,Not Specified,02-11-2021,04-11-2021,F,40,2710,1,Technology,Bookcases
86,F,Ship,3,4,197,9.85,3,Not Specified,24-12-2020,27-12-2020,M,13,2148,1,Technology,Bookcases
87,A,Ship,4,1,185,9.25,2,low,10-04-2020,12-04-2020,M,44,2910,1,Office Supplies,Bookcases
88,B,Ship,6,2,278,13.9,3,Not Specified,12-04-2021,21-04-2021,F,3,2974,1,Technology,Bookcases
89,C,Ship,3,3,229,11.45,3,low,10-08-2021,14-08-2021,M,49,2339,1,Office Supplies,Bookcases
90,F,Ship,4,1,186,9.3,4,Not Specified,23-03-2021,27-03-2021,F,57,3880,1,Technology,Bookcases
91,D,Ship,5,3,174,8.7,6,Critical,20-09-2022,23-09-2022,F,41,1085,1,Office Supplies,Bookcases
92,F,Ship,5,5,286,14.3,3,low,10-09-2022,19-09-2022,F,18,3163,1,Office Supplies,Bookcases
93,A,Ship,4,4,175,8.75,2,Not Specified,11-08-2020,16-08-2020,F,7,1188,1,Technology,Bookcases
94,B,Ship,3,3,219,10.95,3,Not Specified,09-06-2021,14-06-2021,F,17,3387,1,Technology,Bookcases
95,C,Ship,4,1,213,10.65,4,Critical,02-08-2020,08-08-2020,F,35,2343,1,Office Supplies,Bookcases
96,F,Ship,2,3,235,11.75,3,low,04-07-2023,08-07-2023,M,57,2034,1,Office Supplies,Bookcases
97,D,Ship,3,3,149,7.45,2,Not Specified,24-03-2023,27-03-2023,M,18,1225,1,Technology,Bookcases
98,F,Ship,4,1,271,13.55,2,Not Specified,24-09-2023,29-09-2023,F,8,2401,1,Technology,Bookcases
99,A,Ship,3,5,144,7.2,4,Not Specified,29-01-2021,01-02-2021,M,5,1104,1,Technology,Bookcases
100,B,Ship,4,2,145,7.25,2,Not Specified,06-08-2022,09-08-2022,M,21,1617,1,Technology,Bookcases
101,C,Ship,5,3,143,7.15,2,Not Specified,19-01-2021,22-01-2021,M,59,1837,1,Technology,Bookcases
102,F,Ship,5,5,227,11.35,4,low,27-04-2022,29-04-2022,M,53,2624,1,Office Supplies,Bookcases
103,D,Ship,2,1,213,10.65,3,low,19-07-2023,25-07-2023,M,29,2732,1,Office Supplies,Bookcases
104,F,Ship,5,1,144,7.2,4,low,22-09-2020,29-09-2020,M,37,1658,1,Office Supplies,Bookcases
105,A,Ship,3,3,218,10.9,3,low,06-11-2020,14-11-2020,M,3,2255,1,Office Supplies,Bookcases
106,B,Ship,4,2,144,7.2,3,Not Specified,21-08-2021,27-08-2021,M,59,1588,1,Technology,Bookcases
107,C,Ship,3,1,238,11.9,3,low,18-10-2021,25-10-2021,M,17,2624,1,Office Supplies,Bookcases
108,F,Ship,4,5,216,10.8,3,Critical,21-03-2022,24-03-2022,M,26,2053,1,Office Supplies,Bookcases
109,D,Ship,4,5,238,11.9,3,Critical,19-10-2023,29-10-2023,F,55,3257,1,Office Supplies,Bookcases
110,F,Ship,4,1,141,7.05,3,Not Specified,27-11-2023,03-12-2023,M,47,1250,1,Technology,Bookcases
111,A,Road,3,1,158,7.9,2,low,25-03-2023,03-04-2023,M,2,1284,1,Office Supplies,Bookcases
112,B,Road,4,2,239,11.95,3,low,11-12-2023,16-12-2023,F,65,3679,1,Office Supplies,Bookcases
113,C,Road,4,3,175,8.75,2,low,23-12-2020,02-01-2021,M,25,1816,1,Office Supplies,Bookcases
114,F,Road,3,2,263,13.15,3,low,29-04-2021,07-05-2021,M,41,2817,1,Office Supplies,Bookcases
115,D,Road,3,5,168,8.4,2,Critical,19-08-2023,24-08-2023,M,50,1616,1,Office Supplies,Bookcases
116,F,Road,3,4,176,8.8,3,Critical,12-08-2021,20-08-2021,M,36,1779,1,Office Supplies,Bookcases
117,A,Road,4,1,150,7.5,4,Critical,09-05-2023,12-05-2023,M,60,1024,1,Office Supplies,Bookcases
118,B,Road,4,3,265,13.25,2,Not Specified,11-10-2021,15-10-2021,F,31,2326,1,Technology,Bookcases
119,C,Road,2,5,263,13.15,3,low,02-12-2022,06-12-2022,F,5,2947,1,Office Supplies,Bookcases
120,F,Road,5,1,145,7.25,3,low,18-10-2021,23-10-2021,M,20,1387,1,Office Supplies,Bookcases
121,D,Road,4,2,183,9.15,3,low,28-02-2022,05-03-2022,F,33,2741,1,Office Supplies,Bookcases
122,F,Road,3,3,205,10.25,3,Not Specified,01-03-2021,04-03-2021,F,19,2167,1,Technology,Bookcases
123,A,Road,4,2,160,8,3,low,04-01-2021,13-01-2021,M,64,1714,1,Office Supplies,Bookcases
124,B,Road,3,3,252,12.6,2,Not Specified,27-08-2020,05-09-2020,F,48,2102,1,Technology,Bookcases
125,C,Road,5,5,222,11.1,3,low,28-05-2020,02-06-2020,M,10,2280,1,Office Supplies,Bookcases
126,F,Road,3,3,203,10.15,2,low,15-10-2021,23-10-2021,M,25,3607,1,Office Supplies,Bookcases
127,D,Road,4,5,220,11,3,Not Specified,09-07-2020,17-07-2020,M,40,3516,1,Technology,Bookcases
128,F,Road,3,3,147,7.35,4,low,24-04-2023,03-05-2023,F,60,1722,1,Office Supplies,Bookcases
129,A,Road,4,4,200,10,4,Not Specified,10-09-2023,16-09-2023,M,16,2060,1,Technology,Bookcases
130,B,Road,4,5,224,11.2,4,Not Specified,20-02-2021,27-02-2021,M,21,2026,1,Technology,Bookcases
131,C,Road,3,5,179,8.95,2,low,14-01-2023,22-01-2023,F,17,1364,1,Office Supplies,Bookcases
132,F,Road,3,4,144,7.2,3,low,04-02-2023,12-02-2023,M,50,1865,1,Office Supplies,Bookcases
133,D,Flight,5,2,247,12.35,3,low,09-03-2020,14-03-2020,M,17,3889,1,Office Supplies,Bookcases
134,F,Flight,5,4,280,14,6,Not Specified,29-11-2021,09-12-2021,F,51,3582,1,Technology,Bookcases
135,A,Flight,3,3,168,8.4,2,Not Specified,08-02-2020,13-02-2020,F,1,1829,1,Technology,Bookcases
136,B,Flight,3,5,157,7.85,3,Not Specified,23-12-2021,02-01-2022,F,4,1889,1,Technology,Bookcases
137,C,Flight,3,3,189,9.45,4,Not Specified,31-03-2021,07-04-2021,F,51,2208,1,Technology,Bookcases
138,F,Flight,3,5,162,8.1,2,Not Specified,18-07-2021,21-07-2021,M,7,1739,1,Technology,Bookcases
139,D,Flight,4,1,207,10.35,5,low,16-09-2023,18-09-2023,M,48,2399,1,Office Supplies,Bookcases
140,F,Flight,5,1,237,11.85,2,low,31-03-2021,07-04-2021,F,10,3860,1,Office Supplies,Bookcases
141,A,Flight,4,4,264,13.2,3,Critical,31-08-2023,02-09-2023,M,59,2020,1,Office Supplies,Bookcases
142,B,Flight,5,4,149,7.45,3,low,08-10-2023,10-10-2023,M,51,1645,1,Office Supplies,Bookcases
143,C,Flight,5,5,162,8.1,3,low,04-06-2023,14-06-2023,M,41,1462,1,Office Supplies,Bookcases
144,F,Flight,2,1,205,10.25,4,Not Specified,24-01-2022,02-02-2022,F,63,2156,1,Technology,Bookcases
145,D,Flight,2,1,158,7.9,3,Not Specified,21-04-2020,25-04-2020,F,51,1540,1,Technology,Bookcases
146,F,Flight,2,2,248,12.4,2,low,20-07-2022,27-07-2022,M,46,3707,1,Office Supplies,Bookcases
147,A,Flight,3,5,191,9.55,3,low,06-04-2021,09-04-2021,M,23,3750,1,Office Supplies,Bookcases
148,B,Flight,4,3,146,7.3,4,Not Specified,16-02-2022,26-02-2022,F,24,1844,1,Technology,Bookcases
149,C,Flight,3,3,135,6.75,3,low,19-03-2022,26-03-2022,M,56,1490,1,Office Supplies,Bookcases
150,F,Flight,5,1,149,7.45,3,low,08-04-2020,17-04-2020,M,40,1062,1,Office Supplies,Bookcases
151,D,Flight,4,4,220,11,2,Not Specified,02-10-2022,08-10-2022,F,7,2551,1,Technology,Bookcases
152,F,Flight,5,3,98,4.9,5,Not Specified,05-05-2020,10-05-2020,M,44,1269,1,Technology,Bookcases
153,A,Flight,3,4,97,4.85,4,low,22-03-2021,26-03-2021,M,32,1238,1,Office Supplies,Bookcases
154,B,Flight,3,3,183,9.15,2,low,02-08-2023,04-08-2023,M,53,3932,1,Office Supplies,Bookcases
155,C,Ship,3,3,162,8.1,3,Not Specified,10-10-2020,12-10-2020,F,8,1869,1,Technology,Bookcases
156,F,Ship,5,1,114,5.7,4,low,06-06-2022,15-06-2022,F,47,1443,1,Office Supplies,Bookcases
157,D,Ship,6,3,275,13.75,5,low,23-04-2020,27-04-2020,M,41,2491,1,Technology,Bookcases
158,F,Ship,3,2,203,10.15,2,Not Specified,11-01-2020,14-01-2020,F,39,3845,1,Technology,Bookcases
159,A,Ship,5,5,205,10.25,2,Critical,27-03-2022,29-03-2022,M,65,3671,1,Technology,Bookcases
160,B,Ship,3,3,149,7.45,3,low,22-04-2021,30-04-2021,F,63,1946,1,Technology,Bookcases
161,C,Ship,2,2,112,5.6,4,Not Specified,19-01-2022,24-01-2022,M,56,1138,1,Technology,Bookcases
162,F,Ship,3,1,207,10.35,3,Not Specified,20-01-2020,30-01-2020,F,56,3482,1,Technology,Bookcases
163,D,Ship,4,1,261,13.05,4,low,26-07-2020,31-07-2020,F,58,3427,1,Technology,Bookcases
164,F,Ship,5,2,274,13.7,3,Not Specified,29-08-2021,01-09-2021,M,6,3375,1,Technology,Bookcases
165,A,Ship,3,5,141,7.05,2,low,10-09-2022,14-09-2022,M,52,1692,1,Technology,Bookcases
166,B,Ship,3,3,166,8.3,4,Not Specified,03-04-2022,07-04-2022,F,17,1498,1,Technology,Bookcases
167,C,Ship,5,2,141,7.05,3,Critical,31-01-2020,07-02-2020,F,34,1020,1,Technology,Bookcases
168,F,Ship,4,5,152,7.6,3,low,07-12-2023,09-12-2023,M,43,1709,1,Technology,Bookcases
169,D,Ship,4,2,250,12.5,3,low,29-07-2020,03-08-2020,F,53,2478,1,Technology,Bookcases
170,F,Ship,4,3,161,8.05,3,Not Specified,21-07-2023,26-07-2023,F,28,1809,1,Technology,Bookcases
171,A,Ship,4,3,185,9.25,3,Not Specified,06-12-2020,11-12-2020,F,10,2263,1,Technology,Bookcases
172,B,Ship,4,4,176,8.8,4,Critical,10-09-2023,20-09-2023,F,52,1096,1,Technology,Bookcases
173,C,Ship,3,4,148,7.4,3,low,13-06-2023,15-06-2023,M,56,1550,1,Technology,Bookcases
174,F,Ship,3,2,270,13.5,3,low,18-10-2020,26-10-2020,F,63,2751,1,Technology,Bookcases
175,D,Ship,3,3,242,12.1,3,low,07-11-2023,15-11-2023,F,51,3935,1,Technology,Bookcases
176,F,Ship,4,4,150,7.5,2,Not Specified,25-05-2022,04-06-2022,M,3,1285,1,Technology,Bookcases
177,A,Ship,4,5,192,9.6,3,Critical,19-04-2022,22-04-2022,M,20,3872,1,Technology,Bookcases
178,B,Ship,4,5,116,5.8,3,Not Specified,28-07-2022,01-08-2022,M,54,1314,1,Technology,Bookcases
179,C,Ship,3,3,192,9.6,3,Not Specified,20-04-2022,29-04-2022,F,2,3995,1,Technology,Bookcases
180,F,Ship,5,5,255,12.75,4,Not Specified,07-01-2021,10-01-2021,M,3,3440,1,Technology,Bookcases
181,D,Ship,4,1,161,8.05,7,Not Specified,27-03-2021,03-04-2021,F,18,1294,1,Technology,Bookcases
182,F,Ship,4,5,157,7.85,3,low,13-06-2023,19-06-2023,M,20,1487,1,Technology,Bookcases
183,A,Ship,3,2,164,8.2,10,Critical,27-10-2022,29-10-2022,F,28,1940,1,Technology,Bookcases
184,B,Ship,3,5,162,8.1,7,Not Specified,12-08-2021,18-08-2021,F,16,1052,1,Technology,Bookcases
185,C,Ship,3,3,146,7.3,2,low,22-08-2023,25-08-2023,M,50,1486,1,Technology,Bookcases
186,F,Ship,3,2,209,10.45,3,Not Specified,22-10-2020,26-10-2020,M,54,3001,1,Technology,Bookcases
187,D,Ship,5,4,134,6.7,2,Not Specified,09-06-2020,11-06-2020,F,55,1386,1,Technology,Bookcases
188,F,Ship,2,1,222,11.1,2,Not Specified,25-06-2020,30-06-2020,M,5,3778,1,Technology,Bookcases
189,A,Ship,2,5,139,6.95,3,low,21-09-2021,29-09-2021,F,27,1233,1,Technology,Bookcases
190,B,Ship,2,4,134,6.7,3,low,15-07-2021,25-07-2021,F,42,1415,1,Technology,Bookcases
191,C,Ship,2,5,130,6.5,3,low,29-04-2021,01-05-2021,M,16,1092,1,Technology,Bookcases
192,F,Ship,2,5,133,6.65,3,low,04-05-2023,11-05-2023,F,62,1596,1,Technology,Bookcases
193,D,Ship,2,4,140,7,3,low,21-10-2023,29-10-2023,F,7,1411,1,Technology,Bookcases
194,F,Ship,2,2,158,7.9,3,low,10-03-2023,20-03-2023,M,28,1968,1,Technology,Bookcases
195,A,Ship,4,2,270,13.5,4,low,29-10-2021,04-11-2021,F,46,1736,1,Technology,Bookcases
196,B,Ship,2,5,140,7,3,low,24-11-2023,04-12-2023,F,30,1030,1,Technology,Bookcases
197,C,Ship,2,2,135,6.75,3,low,16-03-2022,23-03-2022,M,15,1339,1,Technology,Bookcases
198,F,Ship,2,3,136,6.8,3,low,30-11-2022,05-12-2022,F,19,1568,1,Technology,Bookcases
199,D,Ship,2,3,142,7.1,3,Not Specified,26-06-2020,29-06-2020,F,38,7640,1,Technology,Bookcases
200,F,Ship,2,2,154,7.7,3,Not Specified,18-05-2020,20-05-2020,M,38,7846,1,Technology,Bookcases
201,A,Ship,2,3,139,6.95,3,low,26-01-2023,28-01-2023,M,9,1471,1,Technology,Bookcases
202,B,Ship,2,3,160,8,3,low,25-02-2021,02-03-2021,F,43,1251,1,Technology,Bookcases
203,C,Ship,2,4,134,6.7,3,low,05-08-2023,10-08-2023,M,58,1067,1,Technology,Bookcases
204,F,Ship,5,3,161,8.05,5,Critical,05-05-2022,07-05-2022,M,48,1883,1,Technology,Bookcases
205,D,Ship,2,5,155,7.75,3,low,03-05-2022,07-05-2022,M,23,1602,1,Technology,Bookcases
206,F,Ship,2,3,145,7.25,3,Not Specified,11-10-2020,13-10-2020,F,24,7588,1,Technology,Bookcases
207,A,Ship,2,2,157,7.85,3,low,04-02-2023,07-02-2023,M,1,1477,1,Technology,Bookcases
208,B,Ship,2,2,160,8,3,low,09-01-2020,14-01-2020,M,48,1691,1,Technology,Bookcases
209,C,Ship,2,4,152,7.6,3,low,20-08-2021,26-08-2021,M,55,1498,1,Technology,Bookcases
210,F,Ship,2,5,148,7.4,3,Critical,12-10-2023,15-10-2023,F,11,1502,1,Technology,Bookcases
211,D,Ship,2,1,127,6.35,3,low,25-03-2021,31-03-2021,F,15,1522,1,Technology,Bookcases
212,F,Ship,2,5,154,7.7,3,low,06-03-2020,16-03-2020,F,21,1113,1,Technology,Bookcases
213,A,Ship,2,5,127,6.35,3,low,14-09-2020,21-09-2020,M,44,1341,1,Technology,Bookcases
214,B,Ship,2,5,160,8,3,Not Specified,09-05-2021,11-05-2021,F,31,7401,1,Technology,Bookcases
215,C,Ship,2,4,129,6.45,3,low,06-03-2020,08-03-2020,F,48,1219,1,Technology,Bookcases
216,F,Ship,2,5,158,7.9,3,low,21-05-2023,27-05-2023,F,40,1722,1,Technology,Bookcases
217,D,Ship,4,3,185,9.25,3,Not Specified,29-10-2022,04-11-2022,M,3,3131,1,Technology,Bookcases
218,F,Ship,4,4,176,8.8,4,Critical,30-08-2022,08-09-2022,F,63,1293,1,Technology,Bookcases
219,A,Ship,3,4,148,7.4,3,low,25-01-2023,02-02-2023,M,37,1523,1,Technology,Bookcases
220,B,Ship,3,5,270,13.5,3,low,11-04-2022,21-04-2022,M,60,3885,1,Technology,Bookcases
221,C,Ship,3,4,242,12.1,3,low,09-09-2022,14-09-2022,M,29,2381,1,Technology,Bookcases
222,F,Ship,4,3,150,7.5,2,Not Specified,03-09-2020,11-09-2020,M,31,1588,1,Technology,Bookcases
223,D,Ship,4,2,192,9.6,3,Critical,14-01-2021,17-01-2021,M,4,2061,1,Technology,Bookcases
224,F,Ship,4,5,116,5.8,3,Not Specified,14-10-2022,20-10-2022,F,9,1314,1,Technology,Bookcases
225,A,Ship,3,4,192,9.6,3,Not Specified,23-12-2022,31-12-2022,F,31,3331,1,Technology,Bookcases
226,B,Ship,5,4,255,12.75,4,Not Specified,26-04-2021,29-04-2021,F,38,2771,1,Technology,Bookcases
227,C,Ship,4,3,161,8.05,7,Not Specified,25-08-2021,01-09-2021,M,63,1496,1,Technology,Bookcases
228,F,Ship,4,2,157,7.85,3,low,13-04-2020,16-04-2020,F,48,1393,1,Technology,Bookcases
229,D,Ship,3,2,164,8.2,10,Critical,01-08-2022,03-08-2022,M,14,1375,1,Technology,Bookcases
230,F,Ship,3,3,162,8.1,7,Not Specified,31-08-2022,04-09-2022,F,42,1278,1,Technology,Bookcases
231,A,Ship,3,1,146,7.3,2,low,30-05-2022,01-06-2022,F,54,1528,1,Technology,Bookcases
232,B,Ship,3,4,209,10.45,3,Not Specified,22-12-2021,26-12-2021,F,60,2240,1,Technology,Bookcases
233,C,Ship,5,5,134,6.7,2,Not Specified,05-06-2021,12-06-2021,M,53,1088,1,Technology,Bookcases
234,F,Ship,2,1,222,11.1,2,Not Specified,02-09-2021,05-09-2021,M,58,3626,1,Technology,Bookcases
235,D,Ship,2,1,139,6.95,3,low,06-04-2021,08-04-2021,F,39,1582,1,Technology,Bookcases
236,F,Ship,2,2,134,6.7,3,low,30-04-2023,03-05-2023,M,38,1352,1,Technology,Bookcases
237,A,Ship,2,3,130,6.5,3,low,30-05-2023,03-06-2023,F,48,1801,1,Technology,Bookcases
